,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_sd,notes_ld50,Effect,Endpoint,Response_Site,aq_ter,paper code,sample_size,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
88,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,No substrate,Lab,>=6,0.0112,0.00915,0.0135,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,11.2,9.15,13.5
94,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,>=6,0.124,0.0768,0.328,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,124,76.8,328
99,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,No substrate,Lab,>=6,0.0641,0.0322,0.417,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,64.1,32.2,417
160,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,>=6,0.00739,0.00607,0.00903,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Clothianidin,Apidae,Apis,ng/org,7.39,6.07,9.03
161,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,>=6,0.035,0.0155,0.0607,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,11,60,Potential Impacts of Synergism in Honeybees (Apis mellifera) of Exposure to Neonicotinoids and Sprayed Fungicides in Crops,2014,2,Day(s),Clothianidin,Apidae,Apis,ng/org,35,15.5,60.7
17,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,'6-8,0.0179,0.0092,0.0315,AI ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,12,137,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,17.9,9.2,31.5
104,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,'6-8,0.0299,0.0208,0.0429,AI ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,12,144,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,29.9,20.8,42.9
155,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,'6-8,0.0218,0.0102,0.0465,AI ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,12,174,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,21.8,10.2,46.5
216,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,'6-8,7.07,4.57,11.2,AI ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,12,465,"Mechanism for the Differential Toxicity of Neonicotinoid Insecticides in the Honey Bee, Apis mellifera",2004,1,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,7070,4570,11200
18,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Diet, unspecified",No substrate,Lab,'5-7,0.063,0.047,0.076,AI ng/org,,,,,Mortality,LD50,Not reported,Terrestrial,13,1080,Agrochemical Synergism Imposes Higher Risk to Neotropical Bees than to Honeybees,2017,1.2083,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,0.063,0.047,0.076
72,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Partamona helleri,Not reported,NR,,"Diet, unspecified",No substrate,Lab,'5-7,0.091,NA,NA,AI ng/org,,,,95% CI listed here as 0.064-0.012; not sure why the ECOTOX database bas the observed min and max as NA,Mortality,LD50,Not reported,Terrestrial,13,522,Agrochemical Synergism Imposes Higher Risk to Neotropical Bees than to Honeybees,2017,1.2083,Day(s),Imidacloprid,Apidae,Partamona,AI ng/org,0.091,NA,NA
19,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Larva,2,,"Topical, general",No substrate,Lab,9,71.5,NA,NA,ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,14,135,Gene Expression Changes in Honey Bees Induced by Sublethal Imidacloprid Exposure During the Larval Stage,2017,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,71.5,NA,NA
22,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,29.9,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Imidacloprid,Apidae,Apis,ng/org,0.0299,NA,NA
23,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,1.4,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2099,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Imidacloprid,Apidae,Apis,ng/org,1400,NA,NA
30,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,32.8,NA,NA,ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Apidae,Apis,ng/org,32.8,NA,NA
58,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,0.23,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,266,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Apidae,Bombus,ng/org,0.00023,NA,NA
59,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,4.69,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,266,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Apidae,Bombus,ng/org,0.00469,NA,NA
65,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,3.2,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,1080,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Megachilidae,Megachile,ng/org,0.0032,NA,NA
66,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,6.1,NA,NA,ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,1080,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Imidacloprid,Megachilidae,Megachile,ng/org,6.1,NA,NA
83,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,51.4,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Apis,ng/org,0.0514,NA,NA
84,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,34.7,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2099,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Apis,ng/org,0.0347,NA,NA
102,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,2.9,NA,NA,ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Thiamethoxam,Apidae,Apis,ng/org,2.9,NA,NA
103,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,0.02,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2099,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Thiamethoxam,Apidae,Apis,ng/org,2e-05,NA,NA
137,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,22.6,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,266,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Bombus,ng/org,0.0226,NA,NA
138,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,98.2,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,266,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Apidae,Bombus,ng/org,0.0982,NA,NA
141,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,5,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,1080,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Megachilidae,Megachile,ng/org,0.005,NA,NA
142,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,98,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,1080,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Thiamethoxam,Megachilidae,Megachile,ng/org,0.098,NA,NA
153,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,36.7,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Apis,ng/org,0.0367,NA,NA
154,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,2.6,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2099,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Apis,ng/org,0.0026,NA,NA
166,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,6.36,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Clothianidin,Apidae,Apis,ng/org,0.00636,NA,NA
167,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,0.013,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2099,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Clothianidin,Apidae,Apis,ng/org,1.3e-05,NA,NA
197,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,1.87,NA,NA,ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,266,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Bombus,ng/org,1.87,NA,NA
198,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,94.5,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,266,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Apidae,Bombus,ng/org,0.0945,NA,NA
203,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,6e-04,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,1080,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Megachilidae,Megachile,ng/org,6e-07,NA,NA
204,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,14.1,NA,NA,pg/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,1080,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Clothianidin,Megachilidae,Megachile,ng/org,0.0141,NA,NA
213,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,72.6,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Acetamiprid,Apidae,Apis,ng/org,72600,NA,NA
214,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,6,,Food,No substrate,Lab,9,21.5,NA,NA,ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2099,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,27,Day(s),Acetamiprid,Apidae,Apis,ng/org,21.5,NA,NA
220,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,9,9.1,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,2238,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Acetamiprid,Apidae,Apis,ng/org,9100,NA,NA
240,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,9,300,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,266,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Acetamiprid,Apidae,Bombus,ng/org,3e+05,NA,NA
244,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Megachile rotundata,Not reported,NR,,Food,No substrate,Lab,9,9.3,NA,NA,ug/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,15,1080,Neonicotinoids Act Like Endocrine Disrupting Chemicals in Newly-Emerged Bees and Winter Bees,2017,14,Day(s),Acetamiprid,Megachilidae,Megachile,ng/org,9300,NA,NA
24,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,"Topical, general",No substrate,Lab,>=7,0.15,0.05,0.32,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,16,310,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,150,50,320
71,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Osmia cornifrons,Adult,NR,,"Topical, general",No substrate,Lab,>=7,3.82,1.65,12.6,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,16,310,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Imidacloprid,Megachilidae,Osmia,ng/org,3820,1650,12600
215,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,"Topical, general",No substrate,Lab,>=7,64.6,38.1,252,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,16,245,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Acetamiprid,Apidae,Apis,ng/org,64600,38100,252000
245,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Osmia cornifrons,Adult,NR,,"Topical, general",No substrate,Lab,>=7,4,1.1,7.1,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,16,272,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Acetamiprid,Megachilidae,Osmia,ng/org,4000,1100,7100
246,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Osmia cornifrons,Adult,NR,,"Topical, general",No substrate,Lab,>=7,5.2,2.1,9,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,16,99,Comparative Toxicities and Synergism of Apple Orchard Pesticides to Apis mellifera (L.) and Osmia cornifrons (Radoszkowski),2013,2,Day(s),Acetamiprid,Megachilidae,Osmia,ng/org,5200,2100,9000
25,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,20,>,Food,No substrate,Lab,6,0.1,NA,NA,ug/org,,,0.1±0.04,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,17,180,Influence of Agrochemicals Fipronil and Imidacloprid on the Learning Behavior of Apis mellifera L. Honeybees.,2013,0.0833,Day(s),Imidacloprid,Apidae,Apis,ng/org,100,NA,NA
26,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,NR,37,NA,NA,ng/org,,,37±10,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,18,540,Discrepancy Between Acute and Chronic Toxicity Induced by Imidacloprid and Its Metabolites in Apis mellifera,2001,3,Day(s),Imidacloprid,Apidae,Apis,ng/org,37,NA,NA
27,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,NR,37,NA,NA,ng/org,,,37±10,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,18,540,Discrepancy Between Acute and Chronic Toxicity Induced by Imidacloprid and Its Metabolites in Apis mellifera,2001,4,Day(s),Imidacloprid,Apidae,Apis,ng/org,37,NA,NA
28,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,NR,57,NA,NA,ng/org,,,57±28,meanLD50±SD,Mortality,LD50,Not reported,Terrestrial,18,540,Discrepancy Between Acute and Chronic Toxicity Induced by Imidacloprid and Its Metabolites in Apis mellifera,2001,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,57,NA,NA
31,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Larva,NR,,Food,No substrate,Lab,6,4.17,2.96,5.85,ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,19,180,Acute Toxicity of Five Pesticides to Apis mellifera Larvae Reared In Vitro,2017,3,Day(s),Imidacloprid,Apidae,Apis,ng/org,4170,2960,5850
33,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Diet, unspecified",No substrate,Lab,6,30.6,26.7,36.3,ng/org,,,,,Mortality,LD50,Not reported,Terrestrial,20,180,Learning Performances of Honeybees (Apis mellifera L.) are Differentially Affected by Imidacloprid According to the Season,2003,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,30.6,26.7,36.3
34,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,11,0.49,0.33,0.67,AI ug/org,,,,,Mortality,LD50,Not reported,Terrestrial,21,,Assessment of the Risk Posed to Honeybees by Systemic Pesticides,2007,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,490,330,670
36,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,109.579,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,109.579,NA,NA
38,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,187.208,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,187.208,NA,NA
42,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,173.088,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,173.088,NA,NA
43,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,103.705,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,103.705,NA,NA
44,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,46.763,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,46.763,NA,NA
49,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,99.063,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,99.063,NA,NA
50,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,191.044,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,191.044,NA,NA
51,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,74.631,NA,NA,AI ng/org,,,,NR,Mortality,LD50,Not reported,Terrestrial,22,90,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,74.631,NA,NA
